Elementos,Density (g/cmÂ³),Massa molar (g/mol),Melting temperature (K)
Co,8.9,58.933,1768.15
Fe,7.874,55.845,1811.15
Ni,8.908,58.693,1728.15
Si,2.33,28.085,1687.15
Al,2.7,26.982,933.15
Cr,7.19,51.996,2180.15
Mo,10.28,95.96,2896.15
Nb,8.57,92.906,2750.15
Ti,4.507,47.867,1941.15
C,2.26,12.011,3823.15
V,6.11,50.942,2183.15
Zr,6.511,91.224,2128.15
Mn,7.47,54.938,1519.15
Cu,8.96,63.546,1358.15
B,2.46,10.81,2348.15
Y,4.472,88.906,1799.15
Sn,7.31,118.71,505.15
Li,0.535,6.94,454.15
Mg,1.738,24.305,923.15
Zn,7.14,65.38,693.15
Sc,2.985,44.956,1814.15
Hf,13.31,178.49,2506.15
Ta,16.65,180.95,3290.15
W,19.25,183.84,3695.15
